股票代號,日期,資金流向,MFI(%)
6434,2022-04-18,-14000,47.87
6438,2022-04-18,-3929000,45.81
8114,2022-04-18,-31945000,29.54
8112,2022-04-18,-51476000,26.84
8111,2022-04-18,-957000,42.21
8110,2022-04-18,2764000,60.72
8109,2022-04-18,652000,62.21
8107,2022-04-18,-225000,25.16
8105,2022-04-18,-1689000,32.91
8104,2022-04-18,80000,50.42
8103,2022-04-18,-1369000,42.78
8101,2022-04-18,124000,94.53
8099,2022-04-18,-607000,27.42
8097,2022-04-18,-297000,46.20
8096,2022-04-18,-1289000,10.37
8093,2022-04-18,32000,52.71
8092,2022-04-18,-20000,46.59
8091,2022-04-18,-4276000,33.95
8089,2022-04-18,-503000,20.72
8088,2022-04-18,-223000,27.36
8086,2022-04-18,-12948000,42.15
8084,2022-04-18,242000,56.75
8083,2022-04-18,1077000,75.10
8081,2022-04-18,6875000,56.88
8077,2022-04-18,0,51.81
8119,2022-04-18,979000,72.09
8121,2022-04-18,-2369000,43.56
8131,2022-04-18,1508000,56.99
8150,2022-04-18,2133000,51.38
8289,2022-04-18,-2445000,23.89
8284,2022-04-18,-1047000,35.51
8281,2022-04-18,-45000,34.71
8279,2022-04-18,3599000,83.33
8277,2022-04-18,-454000,43.91
8271,2022-04-18,-1522000,41.04
8261,2022-04-18,-23356000,41.33
8255,2022-04-18,-84035000,25.56
8249,2022-04-18,-778000,14.05
8240,2022-04-18,-131000,25.18
8234,2022-04-18,23000,57.16
8076,2022-04-18,-1489000,43.83
8227,2022-04-18,279000,51.03
8215,2022-04-18,-9683000,31.16
8213,2022-04-18,-8806000,27.33
8210,2022-04-18,-2151000,27.55
8201,2022-04-18,-1068000,32.29
8183,2022-04-18,-220952000,37.31
8182,2022-04-18,-87000,47.79
8179,2022-04-18,-1052000,45.93
8176,2022-04-18,-1295000,38.09
8171,2022-04-18,1851000,59.36
8163,2022-04-18,-13122000,31.01
8155,2022-04-18,-108175000,23.40
8222,2022-04-18,501000,60.80
8074,2022-04-18,-18132000,35.58
8072,2022-04-18,-120000,14.31
8071,2022-04-18,228000,50.23
8016,2022-04-18,-25884000,36.92
8011,2022-04-18,-876000,27.55
7595,2022-04-18,901000,62.33
7590,2022-04-18,174000,54.80
7566,2022-04-18,-227000,43.01
7561,2022-04-18,-35000,45.77
7551,2022-04-18,32000,67.75
7530,2022-04-18,355000,75.14
7516,2022-04-18,43000,87.96
7507,2022-04-18,-32000,44.63
7427,2022-04-18,1907000,77.65
8021,2022-04-18,-588000,46.42
7402,2022-04-18,272000,68.70
6877,2022-04-18,158000,60.52
6875,2022-04-18,110000,66.83
6873,2022-04-18,2900000,75.92
6870,2022-04-18,3000,50.16
6869,2022-04-18,1460000,64.66
6864,2022-04-18,-21000,48.14
6859,2022-04-18,0,50.09
6858,2022-04-18,384000,71.75
6850,2022-04-18,8644000,72.40
6848,2022-04-18,247000,53.17
6844,2022-04-18,3640000,87.11
6878,2022-04-18,147000,52.93
8299,2022-04-18,-27745000,45.92
8024,2022-04-18,-380000,40.42
8028,2022-04-18,-8745000,44.81
8070,2022-04-18,-7693000,34.51
8069,2022-04-18,-241304000,43.58
8068,2022-04-18,-148000,39.56
8067,2022-04-18,-27000,20.29
8066,2022-04-18,635000,88.71
8064,2022-04-18,-258000,46.75
8059,2022-04-18,-58000,20.24
8054,2022-04-18,-14327000,32.44
8050,2022-04-18,-3644000,41.34
8049,2022-04-18,-1150000,36.73
8048,2022-04-18,69000,58.49
8027,2022-04-18,2512000,58.06
8047,2022-04-18,15000,52.61
8045,2022-04-18,25000,75.61
8044,2022-04-18,9900000,53.17
8043,2022-04-18,-364000,27.37
8042,2022-04-18,0,50.09
8041,2022-04-18,-365000,19.97
8040,2022-04-18,-5613000,33.51
8039,2022-04-18,-1158000,28.35
8038,2022-04-18,-2906000,31.68
8034,2022-04-18,-1675000,25.50
8033,2022-04-18,-1047000,43.60
8032,2022-04-18,28000,66.71
8046,2022-04-18,-4155000,49.78
8341,2022-04-18,-3305000,41.58
8349,2022-04-18,474000,90.04
8354,2022-04-18,362000,60.59
9917,2022-04-18,-1326000,41.81
9914,2022-04-18,-1242000,48.18
9912,2022-04-18,-74000,10.09
9911,2022-04-18,-1974000,34.08
9910,2022-04-18,18655000,70.21
9908,2022-04-18,-467000,33.32
9907,2022-04-18,-39815000,25.05
9906,2022-04-18,2564000,83.98
9905,2022-04-18,-902000,16.02
9904,2022-04-18,-47636000,25.27
9902,2022-04-18,-946000,19.85
9918,2022-04-18,596000,85.00
9802,2022-04-18,13235000,59.95
9110,2022-04-18,-161000,19.19
9105,2022-04-18,-5209000,28.75
9103,2022-04-18,-3220000,22.80
8996,2022-04-18,-1416000,48.21
8942,2022-04-18,-1266000,32.73
8940,2022-04-18,34000,53.50
8938,2022-04-18,-10883000,25.01
8937,2022-04-18,500000,71.66
8936,2022-04-18,-6018000,22.28
8935,2022-04-18,-565000,13.74
8933,2022-04-18,-1287000,35.07
9136,2022-04-18,-630000,41.67
8931,2022-04-18,-435000,24.01
9919,2022-04-18,-2714000,45.17
9924,2022-04-18,-535000,41.41
9962,2022-04-18,-8489000,39.40
9958,2022-04-18,-68906000,48.79
9957,2022-04-18,-232000,49.81
9955,2022-04-18,-28708000,34.98
9951,2022-04-18,-428000,35.05
9950,2022-04-18,-98000,9.44
9949,2022-04-18,353000,86.07
9946,2022-04-18,-24000,48.43
9945,2022-04-18,-60614000,44.41
9944,2022-04-18,1153000,77.20
9943,2022-04-18,-1396000,30.22
9921,2022-04-18,9907000,56.48
9942,2022-04-18,-260000,41.24
9940,2022-04-18,-169000,48.88
9939,2022-04-18,4350000,63.96
9938,2022-04-18,-17377000,23.70
9937,2022-04-18,-388000,10.07
9935,2022-04-18,-51000,45.25
9934,2022-04-18,2177000,65.56
9933,2022-04-18,-8673000,40.83
9930,2022-04-18,-2052000,14.79
9929,2022-04-18,17000,66.64
9927,2022-04-18,-7406000,32.47
9925,2022-04-18,281000,56.63
9941,2022-04-18,14693000,56.10
6842,2022-04-18,-549000,31.73
8930,2022-04-18,-10548000,22.98
8928,2022-04-18,-259000,42.55
8435,2022-04-18,-256000,25.02
8433,2022-04-18,313000,73.38
8432,2022-04-18,2289000,69.13
8431,2022-04-18,-931000,42.29
8429,2022-04-18,-164000,42.55
8426,2022-04-18,-31000,45.89
8424,2022-04-18,216000,71.38
8422,2022-04-18,-8730000,26.16
8421,2022-04-18,-137000,33.43
8420,2022-04-18,-81000,42.94
8418,2022-04-18,-296000,21.72
8436,2022-04-18,-4405000,45.25
8416,2022-04-18,2858000,92.29
8411,2022-04-18,103000,68.82
8406,2022-04-18,-14724000,20.91
8404,2022-04-18,4141000,74.59
8403,2022-04-18,-5448000,44.00
8401,2022-04-18,-82000,44.52
8390,2022-04-18,-38784000,41.05
8383,2022-04-18,1474000,55.73
8374,2022-04-18,-207000,11.15
8367,2022-04-18,-50000,49.15
8359,2022-04-18,88000,52.76
8358,2022-04-18,-42164000,24.78
8415,2022-04-18,-63522000,24.63
8929,2022-04-18,83000,75.07
8438,2022-04-18,-186000,43.32
8442,2022-04-18,-49000,33.55
8927,2022-04-18,4795000,74.86
8926,2022-04-18,1761000,57.49
8924,2022-04-18,-19580000,31.71
8916,2022-04-18,907000,67.24
8908,2022-04-18,1068000,81.24
8905,2022-04-18,-4460000,45.33
8499,2022-04-18,-557000,35.38
8491,2022-04-18,-73000,42.78
8490,2022-04-18,712000,65.56
8489,2022-04-18,-60000,46.19
8487,2022-04-18,28000,53.34
8440,2022-04-18,292521000,72.09
8481,2022-04-18,341000,77.80
8476,2022-04-18,-1767000,3.13
8473,2022-04-18,-416000,29.08
